;tweetid;stance;emotions;emotion_intensity
33;1556258030660063233;deny;[1, 0, 1, 0, 0, 1, 1, 0];[1.518, 0.0, 0.36700000000000005, 0.0, 0.0, 0.406, 0.45299999999999996, 0.0]
34;1428527208658837508;ambiguous;[0, 0, 0, 1, 0, 0, 1, 1];[0.0, 0.0, 0.0, 0.172, 0.0, 0.0, 0.23399999999999999, 0.594]
35;1425217768585109507;believe;[0, 1, 1, 1, 1, 0, 1, 1];[0.0, 0.402, 0.828, 0.81, 0.586, 0.0, 0.22699999999999998, 1.109]
36;1429040926773686275;ambiguous;[0, 0, 0, 0, 0, 1, 0, 1];[0.0, 0.0, 0.0, 0.0, 0.0, 0.812, 0.0, 0.242]
37;1423321012200894464;believe;[0, 0, 0, 0, 1, 0, 0, 1];[0.0, 0.0, 0.0, 0.0, 0.591, 0.0, 0.0, 0.49200000000000005]
38;1565135163805270019;deny;[1, 0, 0, 0, 0, 0, 0, 0];[0.469, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
39;1436076237676367873;believe;[0, 0, 0, 1, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.198, 0.0, 0.0, 0.0, 0.0]
40;1564884647288479749;deny;[1, 0, 1, 0, 0, 0, 1, 0];[1.2029999999999998, 0.0, 1.523, 0.0, 0.0, 0.0, 0.45299999999999996, 0.0]
41;1428670458535231490;believe;[0, 1, 0, 0, 0, 0, 0, 1];[0.0, 1.062, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8210000000000002]
42;1425738164317003784;believe;[1, 1, 0, 1, 1, 0, 1, 0];[0.045, 0.49200000000000005, 0.0, 0.062, 0.375, 0.0, 0.172, 0.0]
43;1562605409503809539;deny;[0, 0, 0, 0, 0, 0, 1, 0];[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8119999999999999, 0.0]
44;1428342195363459073;believe;[0, 1, 0, 0, 0, 0, 1, 1];[0.0, 0.899, 0.0, 0.0, 0.0, 0.0, 0.195, 1.0539999999999998]
45;1427480620805013507;believe;[0, 0, 0, 0, 0, 1, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0, 0.031, 0.0, 0.0]
46;1425123366571110403;ambiguous;[0, 1, 0, 1, 0, 0, 0, 1];[0.0, 0.899, 0.0, 0.297, 0.0, 0.0, 0.0, 0.695]
47;1425500159232790528;believe;[0, 1, 0, 0, 1, 0, 0, 1];[0.0, 0.461, 0.0, 0.0, 0.578, 0.0, 0.0, 0.547]
48;1428237231613911042;believe;[0, 1, 0, 0, 0, 0, 1, 1];[0.0, 0.38299999999999995, 0.0, 0.0, 0.0, 0.0, 0.195, 0.695]
49;1434418231662415872;believe;[0, 0, 0, 1, 0, 1, 0, 0];[0.0, 0.0, 0.0, 0.359, 0.0, 0.184, 0.0, 0.0]
50;1434835336186798085;believe;[1, 0, 0, 1, 0, 1, 0, 0];[0.853, 0.0, 0.0, 1.193, 0.0, 0.016, 0.0, 0.0]
51;1446248264035184644;believe;[0, 0, 0, 1, 1, 0, 0, 1];[0.0, 0.0, 0.0, 0.198, 0.688, 0.0, 0.0, 0.562]
52;1423925301697028104;believe;[0, 0, 0, 1, 0, 1, 0, 0];[0.0, 0.0, 0.0, 1.7180000000000002, 0.0, 2.138, 0.0, 0.0]
53;1429140710830206984;believe;[1, 0, 1, 1, 0, 1, 0, 0];[0.735, 0.0, 0.39799999999999996, 0.672, 0.0, 0.609, 0.0, 0.0]
54;1479488256391667714;deny;[1, 1, 1, 0, 0, 1, 1, 0];[0.297, 0.9299999999999999, 0.36700000000000005, 0.0, 0.0, 0.406, 0.45299999999999996, 0.0]
55;1514219671133863941;deny;[0, 0, 0, 1, 0, 1, 0, 1];[0.0, 0.0, 0.0, 0.266, 0.0, 0.53, 0.0, 0.47700000000000004]
56;1421143940728721409;ambiguous;[0, 0, 0, 1, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.636, 0.0, 0.0, 0.0, 0.0]
57;1422630619826122756;believe;[0, 1, 0, 0, 1, 1, 0, 1];[0.0, 1.258, 0.0, 0.0, 0.297, 0.281, 0.0, 1.023]
58;1433437760841453574;believe;[1, 0, 1, 1, 0, 1, 1, 0];[0.359, 0.0, 0.36700000000000005, 1.4849999999999999, 0.0, 0.6409999999999999, 0.828, 0.0]
59;1572651422105374721;deny;[1, 0, 0, 0, 0, 0, 0, 0];[0.39399999999999996, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
60;1430330933719220233;ambiguous;[0, 1, 0, 0, 0, 0, 1, 1];[0.0, 0.89, 0.0, 0.0, 0.0, 0.0, 0.344, 1.282]
61;1428069021400899594;believe;[0, 0, 0, 0, 0, 0, 0, 1];[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.758]
62;1428380014790148098;believe;[1, 0, 0, 1, 0, 0, 1, 0];[0.469, 0.0, 0.0, 0.651, 0.0, 0.0, 0.648, 0.0]
63;1436413778594197505;believe;[1, 1, 0, 0, 0, 1, 1, 1];[0.045, 0.547, 0.0, 0.0, 0.0, 0.031, 0.125, 0.555]
64;1422826116767797248;ambiguous;[1, 1, 0, 0, 1, 0, 0, 1];[1.218, 0.461, 0.0, 0.0, 0.8590000000000001, 0.0, 0.0, 0.875]
65;1422304138696790022;believe;[0, 0, 1, 0, 1, 0, 0, 1];[0.0, 0.0, 0.727, 0.0, 0.27399999999999997, 0.0, 0.0, 0.718]
66;1431694321078603777;believe;[0, 0, 0, 1, 0, 0, 0, 1];[0.0, 0.0, 0.0, 0.7659999999999999, 0.0, 0.0, 0.0, 0.461]
67;1435324063552090119;believe;[1, 1, 0, 0, 0, 1, 1, 1];[0.045, 1.0310000000000001, 0.0, 0.0, 0.0, 0.265, 0.125, 2.054]
68;1424646607220379656;believe;[0, 1, 0, 0, 0, 0, 0, 0];[0.0, 0.375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
69;1556699524298461184;deny;[1, 1, 1, 0, 0, 1, 1, 0];[0.964, 0.402, 0.36700000000000005, 0.0, 0.0, 0.406, 0.6799999999999999, 0.0]
70;1433425429218488335;believe;[0, 1, 0, 0, 0, 0, 1, 1];[0.0, 0.38299999999999995, 0.0, 0.0, 0.0, 0.0, 0.21899999999999997, 1.3279999999999998]
71;1425947072780390400;believe;[1, 0, 0, 0, 0, 0, 0, 1];[0.547, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.484]
72;1425876566593114118;believe;[1, 0, 0, 1, 0, 1, 0, 0];[0.682, 0.0, 0.0, 0.792, 0.0, 0.797, 0.0, 0.0]
73;1426979612131725317;believe;[1, 1, 1, 1, 0, 1, 1, 0];[0.735, 1.2429999999999999, 0.594, 1.403, 0.0, 0.9109999999999999, 1.531, 0.0]
74;1424361112670253061;believe;[0, 0, 0, 1, 0, 1, 1, 0];[0.0, 0.0, 0.0, 0.7190000000000001, 0.0, 0.6409999999999999, 0.828, 0.0]
75;1593948571719589888;deny;[0, 0, 1, 0, 0, 0, 0, 0];[0.0, 0.0, 0.36700000000000005, 0.0, 0.0, 0.0, 0.0, 0.0]
76;1432406192177954823;believe;[0, 1, 0, 1, 0, 0, 0, 1];[0.0, 1.484, 0.0, 0.198, 0.0, 0.0, 0.0, 0.6409999999999999]
77;1451376832641654784;believe;[1, 1, 1, 0, 1, 1, 1, 1];[0.578, 1.327, 0.391, 0.0, 0.624, 0.578, 0.45399999999999996, 0.782]
78;1568082961626431491;deny;[1, 0, 1, 0, 0, 0, 0, 0];[0.408, 0.0, 0.531, 0.0, 0.0, 0.0, 0.0, 0.0]
79;1426436547734278147;ambiguous;[1, 1, 0, 1, 1, 0, 1, 1];[0.364, 0.633, 0.0, 0.281, 0.516, 0.0, 0.375, 0.555]
80;1431549617934532609;believe;[0, 1, 0, 0, 0, 0, 0, 1];[0.0, 0.672, 0.0, 0.0, 0.0, 0.0, 0.0, 0.859]
81;1430088398157475846;ambiguous;[0, 1, 0, 1, 0, 0, 0, 1];[0.0, 0.859, 0.0, 0.203, 0.0, 0.0, 0.0, 0.32]
82;1591021389838155777;deny;[1, 0, 0, 0, 0, 0, 0, 0];[0.364, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
83;1423600363307814913;ambiguous;[1, 1, 1, 0, 1, 1, 1, 1];[0.0, 0.22699999999999998, 0.039, 0.0, 0.09, 0.39399999999999996, 0.078, 1.0]
84;1428938650755244035;ambiguous;[1, 1, 0, 1, 0, 1, 0, 0];[0.8440000000000001, 0.523, 0.0, 0.8440000000000001, 0.0, 0.7340000000000001, 0.0, 0.0]
85;1592983912418283521;deny;[0, 0, 1, 0, 0, 0, 0, 0];[0.0, 0.0, 0.36700000000000005, 0.0, 0.0, 0.0, 0.0, 0.0]
86;1426219020735352845;believe;[0, 1, 0, 0, 1, 0, 0, 0];[0.0, 0.35200000000000004, 0.0, 0.0, 0.43799999999999994, 0.0, 0.0, 0.0]
87;1477269209398841346;deny;[1, 0, 1, 1, 0, 0, 0, 0];[0.861, 0.0, 0.531, 2.17, 0.0, 0.0, 0.0, 0.0]
88;1431632513886298118;believe;[0, 0, 0, 0, 0, 1, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0, 0.45299999999999996, 0.0, 0.0]
89;1518886045932216322;deny;[1, 1, 1, 0, 0, 1, 1, 0];[0.297, 0.57, 0.36700000000000005, 0.0, 0.0, 1.468, 0.45299999999999996, 0.0]
90;1421025270367232003;believe;[0, 0, 0, 0, 0, 0, 0, 1];[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.375]
91;1430068334717018113;believe;[0, 1, 0, 1, 0, 0, 1, 1];[0.0, 1.0470000000000002, 0.0, 0.45299999999999996, 0.0, 0.0, 0.46099999999999997, 0.305]
92;1449911340118822919;believe;[1, 0, 1, 0, 1, 0, 0, 0];[0.061, 0.0, 0.445, 0.0, 0.33299999999999996, 0.0, 0.0, 0.0]
93;1523801498693513216;deny;[1, 1, 0, 1, 0, 0, 0, 0];[0.868, 0.484, 0.0, 0.29200000000000004, 0.0, 0.0, 0.0, 0.0]
94;1428824162517147654;believe;[0, 0, 0, 0, 0, 0, 0, 1];[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6559999999999999]
95;1421484817238028290;ambiguous;[1, 0, 1, 0, 0, 0, 0, 1];[0.441, 0.0, 0.445, 0.0, 0.0, 0.0, 0.0, 0.727]
96;1421431203186491397;believe;[0, 0, 0, 1, 0, 1, 1, 0];[0.0, 0.0, 0.0, 0.7190000000000001, 0.0, 0.6409999999999999, 0.828, 0.0]
97;1427804498643193858;ambiguous;[1, 1, 0, 1, 1, 1, 1, 0];[0.561, 0.516, 0.0, 0.933, 0.762, 0.912, 0.711, 0.0]
98;1424119983836213259;ambiguous;[1, 1, 0, 1, 1, 0, 1, 0];[0.045, 0.49200000000000005, 0.0, 0.062, 0.375, 0.0, 0.172, 0.0]
99;1424633473654947840;believe;[0, 0, 0, 1, 1, 0, 0, 0];[0.0, 0.0, 0.0, 0.7659999999999999, 0.968, 0.0, 0.0, 0.0]
100;1423610571396554758;ambiguous;[0, 1, 0, 1, 0, 0, 0, 1];[0.0, 0.38299999999999995, 0.0, 0.297, 0.0, 0.0, 0.0, 0.695]
101;1429204772381470722;ambiguous;[1, 1, 1, 0, 0, 0, 1, 1];[0.0, 0.743, 0.039, 0.0, 0.0, 0.0, 0.078, 1.1640000000000001]
102;1424808321932988420;believe;[1, 0, 0, 0, 0, 0, 0, 0];[0.667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
103;1422377937836384261;ambiguous;[1, 0, 0, 1, 0, 1, 1, 0];[0.8440000000000001, 0.0, 0.0, 0.8440000000000001, 0.0, 1.0150000000000001, 0.469, 0.0]
104;1554790929646641154;deny;[1, 1, 1, 1, 0, 1, 1, 0];[0.574, 0.39799999999999996, 0.6559999999999999, 0.843, 0.0, 0.915, 0.578, 0.0]
105;1425396101847392257;believe;[0, 0, 0, 1, 0, 1, 1, 0];[0.0, 0.0, 0.0, 0.7190000000000001, 0.0, 0.6409999999999999, 0.828, 0.0]
106;1591392932300480513;deny;[1, 0, 1, 0, 0, 0, 0, 0];[0.7809999999999999, 0.0, 0.555, 0.0, 0.0, 0.0, 0.0, 0.0]
107;1422260385797783556;ambiguous;[1, 0, 0, 0, 1, 0, 0, 1];[0.5429999999999999, 0.0, 0.0, 0.0, 0.344, 0.0, 0.0, 0.9849999999999999]
108;1423330714326536198;believe;[0, 0, 0, 0, 1, 0, 1, 0];[0.0, 0.0, 0.0, 0.0, 0.344, 0.0, 0.578, 0.0]
109;1424802246479470599;ambiguous;[0, 0, 0, 0, 0, 1, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0, 0.295, 0.0, 0.0]
110;1427299867697745921;ambiguous;[0, 0, 0, 1, 1, 0, 0, 0];[0.0, 0.0, 0.0, 0.7659999999999999, 0.353, 0.0, 0.0, 0.0]
111;1432276378293047297;believe;[0, 0, 0, 1, 0, 1, 1, 0];[0.0, 0.0, 0.0, 1.625, 0.0, 0.6409999999999999, 0.828, 0.0]
112;1424729955552931844;ambiguous;[0, 1, 0, 0, 0, 0, 0, 0];[0.0, 0.523, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
113;1426957969426722823;believe;[1, 1, 1, 0, 0, 0, 1, 0];[0.455, 0.578, 0.156, 0.0, 0.0, 0.0, 0.68, 0.0]
114;1565866463801626626;deny;[1, 0, 1, 0, 0, 0, 1, 0];[0.691, 0.0, 0.617, 0.0, 0.0, 0.0, 0.45299999999999996, 0.0]
115;1424752771719471105;believe;[0, 0, 0, 1, 0, 1, 1, 0];[0.0, 0.0, 0.0, 1.4849999999999999, 0.0, 0.6409999999999999, 0.828, 0.0]
116;1426221847935324171;ambiguous;[0, 0, 0, 1, 0, 0, 0, 1];[0.0, 0.0, 0.0, 0.8440000000000001, 0.0, 0.0, 0.0, 0.49200000000000005]
117;1432320616959512577;believe;[0, 0, 0, 1, 0, 1, 0, 1];[0.0, 0.0, 0.0, 0.718, 0.0, 0.727, 0.0, 1.657]
118;1496518173318864905;deny;[0, 0, 0, 1, 0, 1, 0, 0];[0.0, 0.0, 0.0, 0.466, 0.0, 0.621, 0.0, 0.0]
119;1496133731538685952;deny;[1, 0, 1, 1, 0, 0, 0, 0];[0.861, 0.0, 0.531, 0.688, 0.0, 0.0, 0.0, 0.0]
120;1421827026793664512;ambiguous;[0, 1, 0, 0, 0, 0, 0, 1];[0.0, 0.38299999999999995, 0.0, 0.0, 0.0, 0.0, 0.0, 0.484]
121;1425110121072443401;believe;[0, 1, 0, 0, 0, 0, 0, 0];[0.0, 0.35200000000000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
122;1520864081133015040;deny;[1, 0, 1, 1, 0, 1, 1, 0];[0.297, 0.0, 0.36700000000000005, 0.359, 0.0, 0.406, 0.45299999999999996, 0.0]
123;1431665100839079936;believe;[0, 0, 0, 1, 0, 1, 1, 0];[0.0, 0.0, 0.0, 0.7190000000000001, 0.0, 0.6409999999999999, 0.828, 0.0]
124;1424037628538626050;believe;[0, 0, 0, 0, 0, 0, 0, 1];[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.43799999999999994]
125;1424199656469241858;ambiguous;[0, 1, 0, 1, 1, 0, 1, 1];[0.0, 1.2029999999999998, 0.0, 0.297, 1.469, 0.0, 0.9530000000000001, 1.0390000000000001]
126;1429829597609091092;ambiguous;[0, 0, 0, 0, 0, 0, 0, 1];[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9059999999999999]
127;1420787043957829639;believe;[1, 0, 0, 1, 0, 0, 0, 1];[1.334, 0.0, 0.0, 1.4220000000000002, 0.0, 0.0, 0.0, 0.508]
128;1431353374163849216;believe;[1, 1, 0, 1, 0, 0, 1, 1];[0.045, 0.49200000000000005, 0.0, 0.062, 0.0, 0.0, 0.172, 0.562]
129;1424919316663734273;ambiguous;[0, 1, 0, 0, 0, 1, 0, 1];[0.0, 0.39799999999999996, 0.0, 0.0, 0.0, 0.391, 0.0, 0.953]
130;1427530325278797828;believe;[0, 0, 0, 0, 0, 0, 0, 1];[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.406]
131;1421846430122008577;believe;[0, 0, 0, 0, 0, 0, 0, 1];[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.47700000000000004]
132;1423646928399736836;believe;[0, 0, 0, 1, 0, 1, 0, 0];[0.0, 0.0, 0.0, 0.6819999999999999, 0.0, 0.45299999999999996, 0.0, 0.0]
133;1420753811182788609;ambiguous;[0, 0, 0, 0, 1, 0, 0, 1];[0.0, 0.0, 0.0, 0.0, 0.891, 0.0, 0.0, 1.0939999999999999]
134;1432678257258811394;believe;[0, 0, 0, 0, 0, 0, 0, 1];[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.313]
135;1424736980236124160;believe;[1, 1, 1, 1, 0, 1, 1, 1];[0.261, 0.727, 0.25, 0.841, 0.0, 0.509, 1.0779999999999998, 0.68]
136;1585943073682784256;deny;[0, 0, 1, 0, 0, 0, 0, 0];[0.0, 0.0, 0.578, 0.0, 0.0, 0.0, 0.0, 0.0]
137;1425731217907847173;believe;[0, 0, 0, 1, 0, 1, 1, 0];[0.0, 0.0, 0.0, 1.4849999999999999, 0.0, 0.6409999999999999, 0.828, 0.0]
138;1432154993562431489;believe;[0, 1, 0, 1, 0, 0, 1, 0];[0.0, 0.727, 0.0, 0.45, 0.0, 0.0, 0.695, 0.0]
139;1427450105246912513;believe;[1, 0, 1, 1, 0, 0, 0, 1];[0.102, 0.0, 0.188, 0.5, 0.0, 0.0, 0.0, 0.516]
140;1424702190346817539;ambiguous;[0, 0, 0, 0, 1, 0, 0, 1];[0.0, 0.0, 0.0, 0.0, 0.109, 0.0, 0.0, 0.45299999999999996]
141;1579509562373439491;deny;[1, 0, 1, 0, 0, 0, 0, 0];[0.804, 0.0, 0.36700000000000005, 0.0, 0.0, 0.0, 0.0, 0.0]
142;1434145483988025354;believe;[0, 0, 0, 0, 0, 0, 0, 1];[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.484]
143;1437112269255499785;believe;[0, 1, 0, 0, 0, 1, 0, 1];[0.0, 0.9610000000000001, 0.0, 0.0, 0.0, 0.1, 0.0, 1.0310000000000001]
144;1422553338751631361;believe;[1, 0, 1, 1, 1, 1, 0, 0];[0.706, 0.0, 0.758, 1.801, 0.532, 1.5779999999999998, 0.0, 0.0]
145;1426514478343073793;believe;[0, 0, 0, 1, 1, 0, 0, 0];[0.0, 0.0, 0.0, 0.198, 0.5, 0.0, 0.0, 0.0]
146;1431870102601801731;believe;[0, 1, 0, 0, 0, 0, 0, 1];[0.0, 0.414, 0.0, 0.0, 0.0, 0.0, 0.0, 1.242]
147;1423703976667721729;believe;[0, 0, 0, 1, 0, 1, 1, 1];[0.0, 0.0, 0.0, 2.3129999999999997, 0.0, 1.2650000000000001, 1.2819999999999998, 0.68]
148;1425010245017952271;ambiguous;[1, 1, 0, 1, 1, 1, 1, 1];[1.272, 0.516, 0.0, 0.9059999999999999, 0.23399999999999999, 0.917, 0.703, 0.727]
149;1426195757682495501;ambiguous;[0, 1, 0, 0, 1, 0, 0, 1];[0.0, 0.859, 0.0, 0.0, 0.43799999999999994, 0.0, 0.0, 0.586]
150;1424655901630283778;ambiguous;[1, 0, 1, 1, 1, 1, 1, 1];[0.786, 0.0, 0.305, 1.292, 0.7370000000000001, 0.25, 0.836, 0.898]
151;1436232064148381697;believe;[0, 1, 0, 1, 0, 0, 1, 1];[0.0, 0.38299999999999995, 0.0, 0.198, 0.0, 0.0, 0.21899999999999997, 0.617]
152;1432988535045382146;believe;[0, 1, 0, 0, 0, 0, 0, 0];[0.0, 0.516, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
153;1433318440425586688;believe;[0, 0, 0, 1, 0, 1, 1, 0];[0.0, 0.0, 0.0, 0.7190000000000001, 0.0, 0.6409999999999999, 0.828, 0.0]
154;1429094886322626564;ambiguous;[0, 0, 0, 0, 0, 0, 0, 1];[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.359]
155;1433455471365525507;believe;[0, 0, 0, 0, 0, 0, 0, 1];[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.43799999999999994]
156;1424674805509406723;believe;[1, 1, 1, 1, 0, 0, 0, 1];[0.7140000000000001, 0.516, 0.47700000000000004, 0.7659999999999999, 0.0, 0.0, 0.0, 0.695]
157;1421818275923513348;believe;[0, 0, 0, 1, 0, 0, 0, 1];[0.0, 0.0, 0.0, 0.198, 0.0, 0.0, 0.0, 0.695]
158;1421354588876132354;believe;[0, 0, 0, 1, 1, 0, 0, 1];[0.0, 0.0, 0.0, 0.636, 0.455, 0.0, 0.0, 0.484]
159;1437719836357013504;believe;[0, 0, 0, 1, 0, 1, 1, 1];[0.0, 0.0, 0.0, 1.19, 0.0, 0.6409999999999999, 0.828, 0.43]
160;1426186021729816576;ambiguous;[0, 0, 0, 0, 0, 1, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0, 0.391, 0.0, 0.0]
161;1433806141939650583;believe;[0, 0, 0, 0, 0, 0, 0, 1];[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.727]
162;1429685806390784003;believe;[0, 1, 0, 0, 0, 0, 0, 1];[0.0, 0.414, 0.0, 0.0, 0.0, 0.0, 0.0, 1.032]
163;1554520393452556294;deny;[0, 0, 0, 0, 0, 1, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0, 0.188, 0.0, 0.0]
164;1424139434262351874;believe;[0, 0, 0, 1, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.7659999999999999, 0.0, 0.0, 0.0, 0.0]
165;1425870544935739393;ambiguous;[0, 0, 0, 1, 1, 0, 1, 1];[0.0, 0.0, 0.0, 0.359, 0.7000000000000001, 0.0, 0.461, 0.523]
166;1424846840302870529;ambiguous;[0, 0, 0, 1, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.198, 0.0, 0.0, 0.0, 0.0]
